"","date","euro","chf","gbp"
"1",2000-01-04,1.0305,1.5553,1.6404
"2",2000-01-05,1.0368,1.5508,1.6393
"3",2000-01-06,1.0388,1.5458,1.6492
"4",2000-01-07,1.0284,1.5629,1.6448
"5",2000-01-10,1.0229,1.574,1.6366
"6",2000-01-11,1.0256,1.5645,1.6423
"7",2000-01-12,1.0308,1.5615,1.6469
"8",2000-01-13,1.0276,1.5659,1.6463
"9",2000-01-14,1.0225,1.5764,1.6447
"10",2000-01-17,1.0094,1.597,1.6342
"11",2000-01-18,1.0093,1.6004,1.6335
"12",2000-01-19,1.0105,1.5967,1.6378
"13",2000-01-20,1.0089,1.5983,1.6465
"14",2000-01-21,1.0097,1.59,1.655
"15",2000-01-24,1.0027,1.606,1.6545
"16",2000-01-25,1.0008,1.61,1.6457
"17",2000-01-26,1.0019,1.6097,1.6435
"18",2000-01-27,0.9976,1.6107,1.6369
"19",2000-01-28,0.9848,1.6358,1.6278
"20",2000-01-31,0.9791,1.641,1.6237
"21",2000-02-01,0.971,1.658,1.6113
"22",2000-02-02,0.9717,1.6553,1.6076
"23",2000-02-03,0.9748,1.6526,1.6001
"24",2000-02-04,0.9835,1.632,1.5885
"25",2000-02-07,0.9767,1.6417,1.5928
"26",2000-02-08,0.9903,1.6303,1.5983
"27",2000-02-09,0.9934,1.6238,1.6121
"28",2000-02-10,0.9868,1.6238,1.6085
"29",2000-02-11,0.9801,1.6383,1.5985
"30",2000-02-14,0.9867,1.6253,1.5898
"31",2000-02-15,0.9778,1.6377,1.586
"32",2000-02-16,0.9804,1.637,1.6004
"33",2000-02-17,0.9919,1.6165,1.6115
"34",2000-02-18,0.9857,1.6266,1.6046
"35",2000-02-21,0.9857,1.6269,1.5992
"36",2000-02-22,1.0022,1.608,1.6075
"37",2000-02-23,1.0068,1.6016,1.6081
"38",2000-02-24,0.9898,1.6211,1.6002
"39",2000-02-25,0.9813,1.6382,1.5938
"40",2000-02-28,0.9639,1.6609,1.5898
"41",2000-02-29,0.9714,1.6488,1.5927
"42",2000-03-01,0.9667,1.6588,1.5846
"43",2000-03-02,0.9725,1.6558,1.5838
"44",2000-03-03,0.9659,1.6651,1.5787
"45",2000-03-06,0.964,1.6693,1.5772
"46",2000-03-07,0.9593,1.6762,1.5741
"47",2000-03-08,0.9543,1.6827,1.5783
"48",2000-03-09,0.9616,1.6696,1.5798
"49",2000-03-10,0.9613,1.6707,1.5791
"50",2000-03-13,0.9716,1.6602,1.5792
"51",2000-03-14,0.962,1.6752,1.5717
"52",2000-03-15,0.9647,1.6698,1.5725
"53",2000-03-16,0.9663,1.6638,1.5731
"54",2000-03-17,0.9672,1.667,1.575
"55",2000-03-20,0.9715,1.6618,1.5667
"56",2000-03-21,0.9701,1.6588,1.5704
"57",2000-03-22,0.9603,1.6778,1.5672
"58",2000-03-23,0.9656,1.6721,1.5782
"59",2000-03-24,0.9715,1.643,1.5884
"60",2000-03-27,0.9712,1.634,1.599
"61",2000-03-28,0.9647,1.6448,1.586
"62",2000-03-29,0.9568,1.6619,1.5859
"63",2000-03-30,0.9555,1.6658,1.5904
"64",2000-03-31,0.9553,1.6688,1.5951
"65",2000-04-03,0.9564,1.6649,1.5926
"66",2000-04-04,0.9538,1.657,1.5988
"67",2000-04-05,0.9673,1.6263,1.5938
"68",2000-04-06,0.9625,1.6335,1.5886
"69",2000-04-07,0.9564,1.642,1.5828
"70",2000-04-10,0.959,1.6483,1.5799
"71",2000-04-11,0.9594,1.639,1.5859
"72",2000-04-12,0.9576,1.6493,1.5838
"73",2000-04-13,0.9537,1.6479,1.5879
"74",2000-04-14,0.954,1.6508,1.5835
"75",2000-04-17,0.9573,1.6357,1.5881
"76",2000-04-18,0.9497,1.6539,1.5825
"77",2000-04-19,0.9461,1.6634,1.5801
"78",2000-04-20,0.9376,1.6744,1.5804
"79",2000-04-25,0.9302,1.6862,1.5745
"80",2000-04-26,0.9193,1.7101,1.5762
"81",2000-04-27,0.9163,1.71,1.5727
"82",2000-04-28,0.9085,1.7327,1.5681
"83",2000-05-02,0.9116,1.7145,1.5643
"84",2000-05-03,0.8913,1.7275,1.5635
"85",2000-05-04,0.8947,1.7333,1.5527
"86",2000-05-05,0.8984,1.7268,1.5376
"87",2000-05-08,0.8952,1.7351,1.5291
"88",2000-05-09,0.8978,1.7283,1.5346
"89",2000-05-10,0.9107,1.7118,1.5248
"90",2000-05-11,0.9079,1.7095,1.5001
"91",2000-05-12,0.9029,1.7187,1.5137
"92",2000-05-15,0.9147,1.6992,1.5137
"93",2000-05-16,0.9065,1.7114,1.5017
"94",2000-05-17,0.8922,1.7338,1.4906
"95",2000-05-18,0.8942,1.7407,1.4827
"96",2000-05-19,0.8875,1.7482,1.4829
"97",2000-05-22,0.9,1.7263,1.4869
"98",2000-05-23,0.9111,1.7169,1.48
"99",2000-05-24,0.9098,1.7178,1.4755
"100",2000-05-25,0.8981,1.7272,1.4775
"101",2000-05-26,0.9143,1.7112,1.4742
"102",2000-05-30,0.9359,1.6802,1.5011
"103",2000-05-31,0.9303,1.688,1.4948
"104",2000-06-01,0.933,NA,1.4959
"105",2000-06-02,0.9355,1.6812,1.4963
"106",2000-06-05,0.9433,1.6692,1.5115
"107",2000-06-06,0.9485,1.6634,1.5135
"108",2000-06-07,0.9554,1.6398,1.523
"109",2000-06-08,0.9668,1.6337,1.5182
