"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,30.31157,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,30.27336,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,30.02065,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,29.51392,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,29.66547,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,29.57284,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,29.46217,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,29.48738,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,29.65496,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,29.44782,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,29.72047,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,29.60457,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,29.49165,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,29.31603,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,29.7029,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,29.67452,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,29.47964,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,29.42739,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,29.51361,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,29.4055,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,29.15966,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,28.83137,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,28.88085,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,28.10263,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,28.2982,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,28.10769,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,28.72451,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,28.32812,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,28.201,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,27.71686,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,27.75873,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,26.91512,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,26.73941,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,26.61126,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,27.16071,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,26.63714,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,26.51943,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,26.07274,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,26.20675,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,25.77961,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,25.56977,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,28.7268,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,26.99683,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,25.34466,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,24.92417,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,24.47854,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,25.8146,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,24.83597,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,23.55327,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,23.09179,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,23.58077,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,23.19704,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,23.37873,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,22.80302,,
"AUS","Australia","LRIN64FE","Inactivity rate, Aged 15-64, Females","ST","Level, rate or quantity series","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,23.4194,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,17.01256,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,17.35199,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,17.36791,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,16.67852,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,16.63132,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,17.26852,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,17.43363,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,17.29797,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,17.3034,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,17.62934,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,17.75373,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,17.38435,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,17.22635,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,17.492,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,17.92177,,
"AUS","Australia","LRIN64MA","Inactivity rate, Aged 15-64, Males","ST","Level, rate or quantity series","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,17.81972,,
