Downloaded from wid.world on 12-12-2023 at 23:13:53
Percentile;Year;"sptinc_z_ES
Pre-tax national income 
Top 10% | share
Spain"
p90p100;2004;0.3523
p90p100;2005;0.3457
p90p100;2006;0.3534
p90p100;2007;0.3508
p90p100;2008;0.3505
p90p100;2009;0.3529
p90p100;2010;0.3427
p90p100;2011;0.3405
p90p100;2012;0.3457
p90p100;2013;0.3466
p90p100;2014;0.3486
p90p100;2015;0.3525
p90p100;2016;0.3509
p90p100;2017;0.3475
p90p100;2018;0.3421
p90p100;2019;0.3382
p90p100;2020;0.3159
p0p50;2004;0.2168
p0p50;2005;0.2081
p0p50;2006;0.2055
p0p50;2007;0.2107
p0p50;2008;0.2101
p0p50;2009;0.197
p0p50;2010;0.199
p0p50;2011;0.1997
p0p50;2012;0.2013
p0p50;2013;0.1986
p0p50;2014;0.198
p0p50;2015;0.1984
p0p50;2016;0.1953
p0p50;2017;0.2048
p0p50;2018;0.2065
p0p50;2019;0.2053
p0p50;2020;0.2137
p99p100;2004;0.112
p99p100;2005;0.109
p99p100;2006;0.113
p99p100;2007;0.1131
p99p100;2008;0.115
p99p100;2009;0.1224
p99p100;2010;0.1136
p99p100;2011;0.1117
p99p100;2012;0.1192
p99p100;2013;0.1187
p99p100;2014;0.1202
p99p100;2015;0.1243
p99p100;2016;0.125
p99p100;2017;0.1241
p99p100;2018;0.1221
p99p100;2019;0.1182
p99p100;2020;0.1001
