"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q1","Q1-2000","PER","Persons","3","Thousands",,,17415.43,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q2","Q2-2000","PER","Persons","3","Thousands",,,17468.2,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q3","Q3-2000","PER","Persons","3","Thousands",,,17532.78,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q4","Q4-2000","PER","Persons","3","Thousands",,,17584.6,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q1","Q1-2001","PER","Persons","3","Thousands",,,17633.86,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q2","Q2-2001","PER","Persons","3","Thousands",,,17687.84,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q3","Q3-2001","PER","Persons","3","Thousands",,,17752.94,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q4","Q4-2001","PER","Persons","3","Thousands",,,17810.76,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q1","Q1-2002","PER","Persons","3","Thousands",,,17918.52,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q2","Q2-2002","PER","Persons","3","Thousands",,,17993.43,,
"ESP","Spain","LFWATTFE","Working age population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q3","Q3-2002","PER","Persons","3","Thousands",,,18063.16,,
