"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,20.47504,"B","Break"
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,15.2179,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,16.14865,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,15.84105,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,14.82234,"B","Break"
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,11.99378,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,11.3474,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,10.69868,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,12.8233,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,18.12587,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,20.22356,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,21.81188,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,25.03308,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,26.67064,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,25.42508,,
"ESP","Spain","LRUNTTFE","Unemployment rate, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,23.54808,,
